Meal,Bedtime,Waketime,Quality,Electronics,Up,Temperature,Noise,Nap
118.08862014113335,1286.5250014843145,558.6023017956016,6,0.7244225417246799,0,25.71487835993359,21.2131922221516,29.000500976692653
103.82444676636042,42.14446465270862,690.1933594747527,5,8.34006473797757,1,25.96983988050325,44.00877054411369,27.463817217531144
123.81983375801686,39.81200396406825,687.404191447999,5,29.008124069992974,1,22.451048956357326,30.029826105844744,12.26011912626786
66.60361979157022,132.87878771571377,522.4893232469651,6,2.2317471725631,1,22.343635937956943,35.939965898158675,24.24776977178782
88.59785896765064,69.17229102135593,585.4637189716477,4,29.28918604942904,0,19.72583099445678,50.534959107522525,0.5624893251448135
131.59652369002404,22.030089324397295,313.26209449958685,1,24.4303287885838,3,22.228674726200722,22.932642265987393,7.188630165042251
112.26077619822694,1242.8018879938177,326.3093823001052,6,24.475429795138346,0,23.947205069077775,46.92371210045761,13.248870137044031
95.79897897230559,104.48197953241379,318.00055369250833,3,7.800846705424359,1,24.27495469466637,2.16482977483048,23.610773232175873
118.42045501701192,59.76466303390043,508.5003290068818,3,18.301224352013648,2,23.483188281555726,25.505959043177263,7.728351111406834
157.05364271325152,1172.8377497419742,355.2753943134756,4,3.7510640510964457,3,25.51249384458154,58.45805229658265,19.883482538287996
157.59597490939436,1281.2474822762804,630.8507722137484,7,12.914656130934006,0,21.037520024409964,16.792175994920754,20.171185965869334
95.43244366729452,55.98289117761851,436.12084928191587,6,15.58161237634035,0,23.20290857790947,23.022068087258678,17.903200604884937
172.87664227855066,1191.9685282947787,480.1507783897211,8,16.65728430546374,1,19.2105424186051,58.686916957593816,3.123416015918819
60.9500447370716,179.2897554475362,335.54180383250684,4,3.218348531554211,1,25.42745808592903,46.41420907285398,22.361096273597934
113.88970448780712,147.24958589749372,422.203702503915,4,22.803133655870198,0,21.16523454667901,52.93657827099537,0.013365001431226986
176.73689872073652,94.53601394993734,591.5694376184119,5,20.878713906273134,0,25.72522756638933,2.3691336939194656,2.7939749026892002
127.80339144619475,55.51792545678086,554.4996060227841,3,7.85843762101428,2,26.54595481893011,9.098413383976727,29.93696009356413
60.55719547963362,13.475136881766048,580.887133349554,4,22.596610188428965,2,19.33983809254988,7.761557699178038,16.84235026607233
177.50709608888224,91.55707878882367,294.49888060566985,5,20.91052381969371,2,22.51829567040542,10.149484045808904,12.648236938163738
162.64140521936542,1250.5755008373924,595.9969356926065,7,11.418644830339645,1,20.855790833627726,54.77107791030616,27.786234915005494
174.62331204232393,1283.54434913057,302.96231551990013,6,12.4300214650323,0,24.02883728575813,31.348372564958062,8.175755718658678
98.69112146960573,1283.8102923091642,680.086246209104,10,8.224034950466867,1,24.161896041891726,29.834962123528264,28.92375406925975
137.39658004578507,98.57515840411975,476.335158272131,5,11.095077274074944,2,24.525961063416496,12.748524076712485,23.14535574322764
121.95278405868513,1394.5330500359453,467.18910869284434,5,13.452103346886734,2,22.845630792268537,23.634163867567,25.875863340001672
